the_geom,the_geom_webmercator,objectid,year,dc_key,code,date_,time,race,sex,age,wound,officer_involved,offender_injured,offender_deceased,location,latino,point_x,point_y,dist,inside,outside,fatal,lat,lng
0101000020E61000001D18697702CD52C0DA7EE8386DFB4340,0101000020110F00007DCCB39561EF5FC1F5985DE3D38A5241,12649115,2015,2.01516E+11,3400,2015-03-22 00:00:00+00,2:45:00,B,M,40,Multiple,N,N,N,600 BLOCK Preston St,0,-75.20327554,39.9642707,16,1,0,1,39.9642707,-75.20327554
0101000020E61000000E709C6F5FC952C0525F9676EA054440,0101000020110F00002959C62234E95FC1FF6CAB3275965241,12649116,2020,2.02035E+11,400,2020-08-27 00:00:00+00,23:26:00,B,M,23,Shoulder,N,N,N,1500 BLOCK W CHURCH LN,0,-75.14644995,40.04621775,35,0,1,0,40.04621775,-75.14644995
0101000020E6100000D2B207BDEBC952C0906DD753C4FB4340,0101000020110F00007511207422EA5FC1F59C5D69348B5241,12649117,2019,2.01906E+11,100,2019-12-11 00:00:00+00,12:46:00,B,M,18,Chest,N,N,N,800 BLOCK N 11th St,0,-75.15501333,39.96692894,6,0,1,1,39.96692894,-75.15501333
0101000020E6100000A55B234095CD52C04399FC05F1F74340,0101000020110F0000D0318EE95AF05FC1217DBA6FF7865241,12649118,2022,2.02212E+11,400,2022-09-24 00:00:00+00,13:37:00,B,M,51,Buttocks,N,N,N,1600 BLOCK S 51ST ST,0,-75.21223453,39.93704295,12,0,1,0,39.93704295,-75.21223453
0101000020E6100000EDB2E3AF9EC652C06C6C446A39004440,0101000020110F00008E41840C87E45FC10350D03925905241,12649119,2020,2.02024E+11,3400,2020-04-12 00:00:00+00,20:53:00,W,M,52,Back,N,N,N,3600 BLOCK KENSINGTON AVE,0,-75.10343549,40.00175217,24,1,0,0,40.00175217,-75.10343549
0101000020E6100000EDB2E3AF9EC652C06C6C446A39004440,0101000020110F00008E41840C87E45FC10350D03925905241,12649120,2020,2.02024E+11,100,2020-04-13 00:00:00+00,0:53:00,B,M,28,Multiple,N,N,N,3600 BLOCK KENSINGTON AVE,0,-75.10343549,40.00175217,24,1,0,1,40.00175217,-75.10343549
0101000020E6100000EDB2E3AF9EC652C06C6C446A39004440,0101000020110F00008E41840C87E45FC10350D03925905241,12649121,2020,2.02024E+11,3400,2020-04-13 00:00:00+00,0:53:00,B,M,58,Multiple,N,N,N,3600 BLOCK KENSINGTON AVE,0,-75.10343549,40.00175217,24,1,0,0,40.00175217,-75.10343549
0101000020E6100000BF991C6728C852C06F6F4C8903004440,0101000020110F00004FD58CD023E75FC128F6937DE98F5241,12649122,2023,2.02339E+11,400,2023-02-16 00:00:00+00,4:55:00,W,F,33,Multiple,N,N,N,100 BLOCK E WESTMORLAND ST,1,-75.12746599,40.00010792,25,0,1,0,40.00010792,-75.12746599
0101000020E6100000F34DC38576CA52C035B52A915DFD4340,0101000020110F000046D140310EEB5FC142B547F3F98C5241,12647799,2019,2.01922E+11,400,2019-07-18 00:00:00+00,2:09:00,B,M,21,Foot,N,N,N,Bouvier & Cecil B Moore,0,-75.16348404,39.97941794,22,0,1,0,39.97941794,-75.16348404
0101000020E6100000306CE6F3FECD52C0F15D10B2A8F84340,0101000020110F00006DBD48750EF15FC11E7839E4C2875241,12647800,2020,2.02012E+11,100,2020-07-20 00:00:00+00,21:43:00,B,M,17,Head,N,N,N,5000 BLOCK CHESTER AVE,0,-75.21868608,39.94264818,12,0,1,0,39.94264818,-75.21868608
